config,shape,diameter,depth,pair,js2d,js2d_null,js2d_null_p95,corr_obs,corr_true,cov_obs,cov_true,n_obs,n_true
symsq_d0.75_c+0.0,square,0.75,depthavg,zonal heat flux u'T',0.566835316172372,0.6441212382115291,0.7677040718904737,0.3682901180388421,0.41931411737674296,0.03097076157502567,0.0346105881251887,864,69984
symsq_d0.75_c+0.0,square,0.75,depthavg,merid. heat flux v'T',0.6155258390217699,0.6699708826885368,0.7887542618575739,-0.06867659262376902,-0.07467659380332191,-0.007490847773624056,-0.008103861310438169,864,69984
symsq_d0.75_c+0.0,square,0.75,depthavg,vertical heat flux w'T',0.5390769149058766,0.6069632527353962,0.7532936328950817,0.12097648256036597,0.05268990869375738,4.487209065518546e-06,1.9515812909808605e-06,864,69984
symsq_d0.75_c+0.0,square,0.75,depthavg,T-S,0.6114285569123542,0.6200832401535888,0.7547497632311909,0.24812972215825463,0.3095761020334262,0.011516776372086791,0.013438198468252737,864,69984
symsq_d1.0_c+0.0,square,1.0,25m,velocity U-V,0.6126314425847622,0.6701332209525361,0.8027064995695099,0.3807728056323289,0.4342610552268894,0.023924799224543797,0.028193368309534426,864,124416
symsq_d1.0_c+0.0,square,1.0,25m,Reynolds stress u'v',0.6271455894562861,0.6644786588022052,0.7872280531689502,0.39017389491998267,0.43616394721538093,0.0242842979004869,0.02824686571866874,864,124416
symsq_d1.0_c+0.0,square,1.0,25m,zonal heat flux u'T',0.5741645259384662,0.5933410732276726,0.703766262994618,0.19106071134074276,0.2831375949557506,0.020004740918492855,0.02697715704868937,864,124416
symsq_d1.0_c+0.0,square,1.0,25m,merid. heat flux v'T',0.5925583594506076,0.6360316770594872,0.7695129854723817,-0.14055972311100254,-0.1334123763342494,-0.01716001014245304,-0.01602765890577608,864,124416
symsq_d1.0_c+0.0,square,1.0,25m,vertical heat flux w'T',0.49376538318166047,0.5807837309718397,0.7080310692716886,0.22618674876076872,0.12372507128951649,7.387580501054925e-06,3.9471430247558635e-06,864,124416
symsq_d1.0_c+0.0,square,1.0,25m,T-S,0.5821277423644033,0.5798926613856045,0.7014001522674123,-0.02368956523203362,0.012919305141337411,-0.0013827644296764022,0.0006734737235523431,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,velocity U-V,0.5946018186928302,0.6656977833261829,0.8004828451973288,0.3011224341156434,0.35241211472278583,0.0173247077175898,0.020253876829263672,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,Reynolds stress u'v',0.6042593574601443,0.6413248260816341,0.71092438226233,0.3095289119763286,0.3550704855799214,0.017652789490113643,0.020319555300611105,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,zonal heat flux u'T',0.5852016113654267,0.5936925635752335,0.759355739223193,0.21990434496859815,0.34217143824877255,0.021409337749768005,0.02952851767373046,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,merid. heat flux v'T',0.6296492142080582,0.6628256977103956,0.7740771702791209,-0.0472664157082481,-0.04747284972151638,-0.005733402696841421,-0.005401901133031678,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,vertical heat flux w'T',0.531129160173349,0.5793189352118859,0.7265253866237158,0.10460193298116095,0.06988734972894459,5.559459781592368e-06,3.4439531134357303e-06,864,124416
symsq_d1.0_c+0.0,square,1.0,50m,T-S,0.6232166351468927,0.6034267890487609,0.7692856514881526,0.12154226406821418,0.22777486916062945,0.00666642926735698,0.010532638633360566,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,velocity U-V,0.6227890608673482,0.6660804748732292,0.73495663908954,0.1626377342306061,0.21494391132270155,0.007453554841956065,0.010547785339850626,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,Reynolds stress u'v',0.6135646440711346,0.6790136594150603,0.8180511892191,0.17554938598180317,0.22367168224426237,0.007843708846643123,0.010782783886063895,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,zonal heat flux u'T',0.5814315214999208,0.6382293566612715,0.7782318885268302,0.1017531883094148,-0.017795643742563157,0.01074521501255509,-0.0020775986666572615,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,merid. heat flux v'T',0.6037308267029408,0.6738785059553528,0.8174176443427432,0.03432835377554124,-0.015125513661119262,0.004617525890475535,-0.0019511580433724924,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,vertical heat flux w'T',0.5620263513832805,0.6322328363888776,0.7801259495439625,0.009606521235092515,-0.01220877286992404,7.060041298603474e-07,-8.791080611477308e-07,864,124416
symsq_d1.0_c+0.0,square,1.0,75m,T-S,0.605319595565213,0.6337675071134478,0.7670159208947398,0.5182698860771153,0.5113948410209647,0.033839127163128854,0.026486164011427286,864,124416
symsq_d1.0_c+0.0,square,1.0,depthavg,velocity U-V,0.5995915934024291,0.6640582610620301,0.8014361721601269,0.32539326656957834,0.37983195853202184,0.017465293523528932,0.020876773307298195,864,124416
symsq_d1.0_c+0.0,square,1.0,depthavg,Reynolds stress u'v',0.6125889586573641,0.6777196652121409,0.8105454993442288,0.33622741784785737,0.38358659927358835,0.017825199630866054,0.020962938665311986,864,124416
symsq_d1.0_c+0.0,square,1.0,depthavg,zonal heat flux u'T',0.6001767654170016,0.6286204500995195,0.7580142047432439,0.3407823975196485,0.40096048974131654,0.029786827844882166,0.033356700107012915,864,124416
symsq_d1.0_c+0.0,square,1.0,depthavg,merid. heat flux v'T',0.6349532167034803,0.6566349604254411,0.7426985652365916,-0.06651527726888051,-0.0732371768445968,-0.007379007146181728,-0.007965760735689038,864,124416
